,Name,Land,Form,Träger,Promotions_recht,Gründung,Stand
0,FH Aachen,NW,FH,staatlich,nein,1971,2016/17 (WS)
1,RWTH Aachen,NW,Uni,staatlich,ja,1870,2019/20 (WS)[4]
2,Hochschule Aalen,BW,FH,staatlich,nein,1962,2012/13 (WS)
3,Hochschule Albstadt-Sigmaringen,BW,FH,staatlich,nein,1971,2012/13 (WS)
4,Alanus Hochschule für Kunst und Gesellschaft (Alfter),NW,FH,privat,ja,2002,2012/13 (WS)
5,"Fachhochschule für Verwaltung und Dienstleistung (Altenholz, Reinfeld)",SH,FH,staatlich,nein,1975,2012/13 (WS)
6,Ostbayerische Technische Hochschule Amberg-Weiden,BY,FH,staatlich,nein,1994,2015/16 (WS)
7,Hochschule für angewandte Wissenschaften Ansbach,BY,FH,staatlich,nein,1996,2015/16 (WS)
8,Technische Hochschule Aschaffenburg,BY,FH,staatlich,nein,1995,2012/13 (WS)
9,Fachhochschule Polizei Sachsen-Anhalt (Aschersleben),ST,FH,staatlich,nein,1997,2012/13 (WS)
10,Hochschule für angewandte Wissenschaften Augsburg,BY,FH,staatlich,nein,1971,2015/16 (WS)
11,Universität Augsburg,BY,Uni,staatlich,ja,1970,2018/19 (WS)
12,Hochschule der Bayerischen Wirtschaft (München),BY,FH,privat,nein,2012,2015/16 (WS)
13,Hochschule der Deutschen Gesetzlichen Unfallversicherung (Bad Hersfeld),HE,FH,privat,nein,1996,2012/13 (WS)
14,accadis Hochschule Bad Homburg,HE,FH,privat,nein,1990,2012/13 (WS)
15,IUBH Internationale Hochschule (Erfurt),TH,FH,privat,nein,1998,2018/19 (WS)
16,Fachhochschule für Rechtspflege Nordrhein-Westfalen (Bad Münstereifel),NW,FH,staatlich,nein,1976,2012/13 (WS)
17,Diploma Hochschule (Bad Sooden-Allendorf),HE,FH,privat,nein,1994,2012/13 (WS)
18,Otto-Friedrich-Universität Bamberg,BY,Uni,staatlich,ja,1647/1972,2018/19 (WS)
19,Hochschule für evangelische Kirchenmusik Bayreuth,BY,FH,konfessionell,nein,2000,2012/13 (WS)
20,Universität Bayreuth,BY,Uni,staatlich,ja,1975,2016/17 (WS)
21,Akkon-Hochschule für Humanwissenschaften,BE,FH,privat,nein,2009,2019/20 (WS)
22,Alice Salomon Hochschule Berlin,BE,FH,staatlich,nein,1908,2012/13 (WS)
23,Bard College Berlin,BE,FH,privat,nein,1999,2014/15 (WS)
24,Berlin International University of Applied Sciences,BE,FH,privat,nein,2014,2016/17 (WS)
25,bbw Hochschule,BE,FH,privat,nein,2007,2012/13 (WS)
26,BSP Business School Berlin,BE,FH,privat,nein,2009,2012/13 (WS)
27,Beuth Hochschule für Technik Berlin,BE,FH,staatlich,nein,1823,2014/15 (WS)
28,CODE University of Applied Sciences,BE,FH,privat,nein,2017,2018/19 (WS)
29,Dekra Hochschule für Medien,BE,FH,privat,nein,1997,2012/13 (WS)
30,"design akademie berlin, SRH Hochschule für Kommunikation und Design",BE,FH,privat,nein,2007,2012/13 (WS)
31,ESCP Business School,BE,FH,privat,ja,1973,2019/20 (WS)
32,European School of Management and Technology,BE,FH,privat,ja,2002,2013/14 (WS)
33,Evangelische Hochschule Berlin,BE,FH,konfessionell,nein,1903,2012/13 (WS)
34,SRH Hochschule der populären Künste,BE,FH,privat,nein,2009,2012/13 (WS)
35,"Hochschule für Medien, Kommunikation und Wirtschaft",BE,FH,privat,nein,2008,2012/13 (WS)
36,Hochschule für Technik und Wirtschaft Berlin,BE,FH,staatlich,nein,1994,2018 (SS)
37,"Hochschule für Wirtschaft, Technik und Kultur",BE,FH,privat,nein,2011,2017/18 (WS)
38,Hochschule für Wirtschaft und Recht Berlin,BE,FH,staatlich,nein,1971,2019 (SS)
39,Freie Universität Berlin,BE,Uni,staatlich,ja,1948,2019/20 (WS)
40,German open Business School,BE,FH,privat,nein,2011,2012/13 (WS)
41,Hertie School,BE,FH,privat,ja,2003,2012/13 (WS)
42,Deutsche Hochschule für Gesundheit und Sport,BE,FH,privat,nein,2007,2012/13 (WS)
43,Hochschule für Musik Hanns Eisler Berlin,BE,FH,staatlich,nein,1950,2012/13 (WS)
44,Hochschule für Schauspielkunst „Ernst Busch“ Berlin,BE,FH,staatlich,nein,1951,2012/13 (WS)
45,Humboldt-Universität zu Berlin,BE,Uni,staatlich,ja,1810,2019/20 (WS)
46,IB-Hochschule Berlin,BE,FH,privat,nein,2007,2012/13 (WS)
47,International Psychoanalytic University Berlin,BE,FH,privat,nein,2009,2012/13 (WS)
48,Katholische Hochschule für Sozialwesen Berlin,BE,FH,konfessionell,nein,1991,2012/13 (WS)
49,Kunsthochschule Berlin-Weißensee,BE,FH,staatlich,nein,1946,2012/13 (WS)
50,Mediadesign Hochschule,BE,FH,privat,nein,2004,2012/13 (WS)
51,Psychologische Hochschule Berlin,BE,FH,privat,nein,2010,2012/13 (WS)
52,SRH Hochschule Berlin,BE,FH,privat,nein,2002,2012/13 (WS)
53,Steinbeis-Hochschule Berlin,BE,FH,privat,ja,1998,2017/18 (SS)
54,Technische Universität Berlin,BE,Uni,staatlich,ja,1770,2019/20 (WS)
55,Touro College Berlin,BE,FH,privat,nein,2003,2012/13 (WS)
56,Universität der Künste Berlin,BE,FH,staatlich,ja,1696,2012/13 (WS)
57,Quadriga Hochschule Berlin,BE,FH,privat,nein,2009,2012/13 (WS)
58,"Hochschule Anhalt (Bernburg, Dessau und Köthen)",ST,FH,staatlich,nein,1991,2012/13 (WS)
59,Hochschule Biberach,BW,FH,staatlich,nein,1964,2012/13 (WS)
60,Fachhochschule Bielefeld,NW,FH,staatlich,nein,1971,2016/17 (WS)
61,Fachhochschule der Diakonie (Bielefeld),NW,FH,konfessionell,nein,2006,2012/13 (WS)
62,Fachhochschule des Mittelstands (Bielefeld),NW,FH,privat,nein,2000,2012/13 (WS)
63,Universität Bielefeld,NW,Uni,staatlich,ja,1969,2017/18 (WS)
64,Technische Hochschule Bingen,RP,FH,staatlich,ja,1897,2019/20 (WS)
65,EBZ Business School (Bochum),NW,FH,privat,nein,2008,2012/13 (WS)
66,Evangelische Hochschule Rheinland-Westfalen-Lippe (Bochum),NW,FH,konfessionell,nein,1971,2012/13 (WS)
67,Hochschule Bochum,NW,FH,staatlich,nein[5],1972,2018/19 (WS)
68,Hochschule für Gesundheit (Bochum),NW,FH,staatlich,nein,2009,2012/13 (WS)
69,Ruhr-Universität Bochum,NW,Uni,staatlich,ja,1962,2019/20 (WS)
70,Technische Hochschule Georg Agricola (Bochum),NW,FH,privat,nein,1816,2012/13 (WS)
71,Hochschule der Sparkassen-Finanzgruppe (Bonn),NW,FH,privat,nein,2003,2012/13 (WS)
72,Rheinische Friedrich-Wilhelms-Universität Bonn,NW,Uni,staatlich,ja,1818,2017/18 (WS)
73,Hochschule Bonn-Rhein-Sieg,NW,FH,staatlich,nein,1995,2015/16 (WS)
74,Technische Hochschule Brandenburg,BB,FH,staatlich,nein,1992,2012/13 (WS)
75,Medizinische Hochschule Brandenburg Theodor Fontane,BB,Uni,privat,ja,2014,2015/16 (WS)
76,Hochschule für Bildende Künste Braunschweig,NI,FH,staatlich,ja,1963,2012/13 (WS)
77,Technische Universität Braunschweig,NI,Uni,staatlich,ja,1745,2018/17 (WS)
78,Hochschule Bremen,HB,FH,staatlich,nein,1982,2012/13 (WS)
79,Apollon Hochschule der Gesundheitswirtschaft,HB,FH,privat,nein,2005,2012/13 (WS)
80,Hochschule für internationale Wirtschaft und Logistik,HB,FH,privat,nein,2009,2012/13 (WS)
81,Hochschule für Künste Bremen,HB,FH,staatlich,nein,1873,2012/13 (WS)
82,Hochschule für Öffentliche Verwaltung Bremen,HB,FH,staatlich,nein,1979,2012/13 (WS)
83,Jacobs University Bremen,HB,Uni,privat,ja,1999,2012/13 (WS)
84,Universität Bremen,HB,Uni,staatlich,ja,1971,2018/19 (WS)
85,Hochschule Bremerhaven,HB,FH,staatlich,nein,1975,2012/13 (WS)
86,Europäische Fachhochschule (Brühl),NW,FH,privat,nein,2001,2012/13 (WS)
87,Hochschule des Bundes für öffentliche Verwaltung (Brühl),NW,FH,staatlich,nein,1978,2012/13 (WS)
88,hochschule 21 (Buxtehude),NI,FH,privat,nein,1971,2012/13 (WS)
89,SRH Hochschule für Wirtschaft und Medien Calw,BW,FH,privat,nein,1972,2012/13 (WS)
90,Technische Universität Chemnitz,SN,Uni,staatlich,ja,1836,2013/14 (WS)
91,Technische Universität Clausthal,NI,Uni,staatlich,ja,1775,2015/16(WS)
92,Hochschule für angewandte Wissenschaften Coburg,BY,FH,staatlich,nein,1971,2012/13 (WS)
93,Brandenburgische Technische Universität Cottbus-Senftenberg,BB,Uni,staatlich,ja,2013,2018/19 (WS)
94,Evangelische Hochschule Darmstadt,HE,FH,konfessionell,nein,1971,2012/13 (WS)
95,Hochschule Darmstadt,HE,FH,staatlich,ja1,1971,2018/19 (WS)
96,Technische Universität Darmstadt,HE,Uni,staatlich,ja,1877,2019/20 (WS)
97,Technische Hochschule Deggendorf,BY,FH,staatlich,nein,1994,2015/16 (WS)
98,Hochschule für Musik Detmold,NW,FH,staatlich,ja,1946,2012/13 (WS)
99,Fachhochschule Dortmund,NW,FH,staatlich,nein,1971,2018/19 (WS)
100,International School of Management (Dortmund),NW,FH,privat,nein,1990,2013/14 (SS)
101,Technische Universität Dortmund,NW,Uni,staatlich,ja,1968,2017/18 (WS)
102,Dresden International University,SN,Uni,privat,nein,2003,2012/13 (WS)
103,Hochschule für Kirchenmusik Dresden,SN,FH,konfessionell,nein,1949,2012/13 (WS)
104,Evangelische Hochschule Dresden,SN,FH,konfessionell,nein,1991,2012/13 (WS)
105,Fachhochschule Dresden,SN,FH,privat,nein,2010,2012/13 (WS)
106,Hochschule für Bildende Künste Dresden,SN,FH,staatlich,ja,1764,2012/13 (WS)
107,Hochschule für Musik Carl Maria von Weber Dresden,SN,FH,staatlich,ja,1856,2012/13 (WS)
108,Hochschule für Technik und Wirtschaft Dresden,SN,FH,staatlich,nein,1992,2012/13 (WS)
109,Palucca Hochschule für Tanz Dresden,SN,FH,staatlich,nein,1925,2012/13 (WS)
110,Technische Universität Dresden,SN,Uni,staatlich,ja,1828,2018/19 (WS)
111,Universität Duisburg-Essen,NW,Uni,staatlich,ja,1972/2003,2019/20 (WS)
112,Hochschule Düsseldorf,NW,FH,staatlich,nein,1971,2012/13 (WS)
113,Fliedner Fachhochschule Düsseldorf,NW,FH,privat,nein,2011,2012/13 (WS)
114,Heinrich-Heine-Universität Düsseldorf,NW,Uni,staatlich,ja,1965,2017/18 (WS)
115,IST-Hochschule für Management (Düsseldorf),NW,FH,privat,nein,2013,2015/16 (WS)
116,Kunstakademie Düsseldorf,NW,FH,staatlich,ja,1773,2012/13 (WS)
117,Robert Schumann Hochschule Düsseldorf,NW,FH,staatlich,ja,1972,2012/13 (WS)
118,Hochschule für nachhaltige Entwicklung Eberswalde,BB,FH,staatlich,nein,1992,2012/13 (WS)
119,Hochschule für Finanzen Rheinland-Pfalz (Edenkoben),RP,FH,staatlich,nein,1981,2012/13 (WS)
120,Katholische Universität Eichstätt-Ingolstadt,BY,Uni,konfessionell,ja,1980,2012/13 (WS)
121,Nordakademie (Elmshorn),SH,FH,privat,nein,1992,2012/13 (WS)
122,Theologische Hochschule Elstal,BB,FH,konfessionell,nein,1880,2015/16 (WS)
123,Hochschule Emden/Leer,NI,FH,staatlich,nein,2009,2016/17 (WS)
124,Hochschule für angewandtes Management (Ismaning),BY,FH,privat,nein,2004,2018/19 (WS)
125,Fachhochschule Erfurt,TH,FH,staatlich,nein,1991,2012/13 (WS)
126,Universität Erfurt,TH,Uni,staatlich,ja,1392/1994 (1379[6]),2012/13 (WS)
127,Friedrich-Alexander-Universität Erlangen-Nürnberg,BY,Uni,staatlich,ja,1742,2019/20 (WS)
128,Folkwang Universität der Künste (Essen),NW,FH,staatlich,ja,1927,2012/13 (WS)
129,Hochschule der bildenden Künste Essen,NW,FH,privat,nein,2013,2017/18 (WS)
130,FOM – Hochschule für Oekonomie und Management (Essen),NW,FH,privat,nein,1993,2019/20 (WS)
131,Hochschule Esslingen,BW,FH,staatlich,nein,1971,2012/13 (WS)
132,Theologische Hochschule Ewersbach,HE,FH,konfessionell,nein,1912; FH seit 2011,2012/13 (WS)
133,Hochschule Flensburg (Fachhochschule),SH,FH,staatlich,nein,1886,2012/13 (WS)
134,Europa-Universität Flensburg,SH,Uni,staatlich,ja,1994,2017/18 (WS)
135,Frankfurt University of Applied Sciences,HE,FH,staatlich,ja1,1971,2012/13 (WS)
136,Frankfurt School of Finance & Management,HE,Uni,privat,ja,1957,2012/13 (WS)
137,Hochschule für Musik und Darstellende Kunst Frankfurt am Main,HE,FH,staatlich,ja,1938,2012/13 (WS)
138,Johann Wolfgang Goethe-Universität Frankfurt am Main,HE,Uni,staatlich,ja,1914,2020 (SS)
139,Philosophisch-Theologische Hochschule Sankt Georgen (Frankfurt am Main),HE,FH,konfessionell,ja,1926,2012/13 (WS)
140,Provadis School of International Management and Technology (Frankfurt am Main),HE,FH,privat,nein,2002,2012/13 (WS)
141,Staatliche Hochschule für Bildende Künste – Städelschule (Frankfurt am Main),HE,FH,staatlich,nein,1829,2012/13 (WS)
142,Europa-Universität Viadrina (Frankfurt (Oder)),BB,Uni,staatlich,ja,1506/1992,2012/13 (WS)
143,Technische Universität Bergakademie Freiberg,SN,Uni,staatlich,ja,1765,2015/16 (WS)
144,Albert-Ludwigs-Universität Freiburg,BW,Uni,staatlich,ja,1457,2017/18 (WS)
145,Evangelische Hochschule Freiburg,BW,FH,konfessionell,nein,1918,2012/13 (WS)
146,Hochschule für Musik Freiburg,BW,FH,staatlich,ja,1946,2016/17 (WS)
147,"Hochschule für Kunst, Design und Populäre Musik Freiburg",BW,FH,privat,nein,2010,2012/13 (WS)
148,Katholische Hochschule Freiburg,BW,FH,konfessionell,nein,1971,2012/13 (WS)
149,Pädagogische Hochschule Freiburg,BW,PH,staatlich,ja,1962,2016/17 (WS)
150,Theologische Hochschule Friedensau,ST,FH,konfessionell,nein,1899,2012/13 (WS)
151,Zeppelin Universität (Friedrichshafen),BW,Uni,privat,ja,2003,2018/19 (WS)
152,Hochschule Fulda,HE,FH,staatlich,ja1,1974,2016/17 (WS)
153,Theologische Fakultät Fulda,HE,FH,konfessionell,ja,1734,2012/13 (WS)
154,Wilhelm Löhe Hochschule für angewandte Wissenschaften (Fürth),BY,FH,privat,nein,2012,2015/16 (WS)
155,Hochschule Furtwangen,BW,FH,staatlich,nein,1850,2012/13 (WS)
156,Hochschule Geisenheim,HE,FH,staatlich,ja,2013,2012/13 (WS)
157,Fachhochschule für öffentliche Verwaltung Nordrhein-Westfalen (Gelsenkirchen),NW,FH,staatlich,nein,1976,2012/13 (WS)
158,Westfälische Hochschule Gelsenkirchen Bocholt Recklinghausen,NW,FH,staatlich,nein,1992,2019/20 (WS)
159,Duale Hochschule Gera-Eisenach,TH,DH,staatlich,nein,2016,2018/19 (WS)
160,SRH Hochschule für Gesundheit (Gera),TH,FH,privat,nein,2006,2012/13 (WS)
161,Freie Theologische Hochschule Gießen,HE,FH,konfessionell,nein,1974; FH seit 2008,2012/13 (WS)
162,Justus-Liebig-Universität Gießen,HE,Uni,staatlich,ja,1607,2017/18 (WS)
163,"Technische Hochschule Mittelhessen (Gießen, Friedberg, Wetzlar)",HE,FH,staatlich,ja1,1971,2019/20 (WS)
164,"Thüringer Fachhochschule für öffentliche Verwaltung (Gotha, Meiningen)",TH,FH,staatlich,nein,1994,2012/13 (WS)
165,Georg-August-Universität Göttingen,NI,Uni,staatlich,ja,1734,2017/18 (WS)
166,PFH Private Hochschule Göttingen,NI,FH,privat,nein,1994,2012/13 (WS)
167,Universität Greifswald,MV,Uni,staatlich,ja,1456,2016/17 (WS)
168,"Fachhochschule für öffentliche Verwaltung, Polizei und Rechtspflege (Güstrow)",MV,FH,staatlich,nein,1991,2012/13 (WS)
169,Hochschule der Deutschen Bundesbank (Hachenburg),RP,FH,staatlich,nein,1976,2012/13 (WS)
170,Fernuniversität in Hagen,NW,Uni,staatlich,ja,1974,2019 (SS)
171,Burg Giebichenstein Kunsthochschule Halle,ST,FH,staatlich,ja,1879,2012/13 (WS)
172,Evangelische Hochschule für Kirchenmusik Halle,ST,FH,konfessionell,nein,1993,2012/13 (WS)
173,Martin-Luther-Universität Halle-Wittenberg,ST,Uni,staatlich,ja,1502/1694/ 1817,2018/19 (WS)
174,Bucerius Law School,HH,Uni,privat,ja,2000,2016/17 (WS)
175,Brand University of Applied Sciences,HH,FH,privat,nein,2010,2012/13 (WS)
176,EBC Hochschule,HH,FH,privat,nein,2008,2012/13 (WS)
177,Europäische Fernhochschule Hamburg,HH,FH,privat,nein,2003,2016/17 (WS)
178,Evangelische Hochschule für Soziale Arbeit & Diakonie,HH,FH,konfessionell,nein,1971,2012/13 (WS)
179,HafenCity Universität Hamburg,HH,Uni,staatlich,ja,2006,2016/17 (WS)
180,Hamburger Fern-Hochschule,HH,FH,privat,nein,1997,2012/13 (WS)
181,HSBA Hamburg School of Business Administration,HH,FH,privat,nein,2004,2017/18 (WS)
182,Hochschule für Angewandte Wissenschaften Hamburg,HH,FH,staatlich,nein,1970,2018/19 (WS)
183,Hochschule für bildende Künste Hamburg,HH,FH,staatlich,ja,1767,2012/13 (WS)
184,Hochschule für Musik und Theater Hamburg,HH,FH,staatlich,ja,1950,2012/13 (WS)
185,Norddeutsche Akademie für Finanzen und Steuerrecht (Hamburg),HH,FH,staatlich,nein,2007,2012/13 (WS)
186,Northern Institute of Technology Management (Hamburg),HH,Uni,privat,ja,1998,2019/20 (WS)
187,International Business School of Service Management (Hamburg),HH,FH,privat,nein,2006,2012/13 (WS)
188,Kühne Logistics University (Hamburg),HH,Uni,privat,ja,2010,2016/17 (WS)
189,MSH Medical School Hamburg,HH,FH,privat,nein,2009,2013/14 (WS)
190,Technische Universität Hamburg,HH,Uni,staatlich,ja,1978,2016/17 (WS)
191,Universität Hamburg,HH,Uni,staatlich,ja,1919,2018/19 (WS)
192,Hochschule Weserbergland (Hameln),NI,FH,privat,nein,2010,2018/19 (WS)
193,Hochschule Hamm-Lippstadt,NW,FH,staatlich,nein,2009,2015/16 (WS)
194,SRH Hochschule Hamm,NW,FH,privat,nein,2004,2012/13 (WS)
195,Fachhochschule für die Wirtschaft Hannover,NI,FH,privat,nein,1996,2012/13 (WS)
196,Gottfried Wilhelm Leibniz Universität Hannover,NI,Uni,staatlich,ja,1831,2018/19 (WS)
197,"Hochschule für Musik, Theater und Medien Hannover",NI,FH,staatlich,ja,1897,2012/13 (WS)
198,Hochschule Hannover,NI,FH,staatlich,nein,1971,2015/16 (WS)
199,Kommunale Hochschule für Verwaltung in Niedersachsen (Hannover),NI,FH,privat,nein,2007,2012/13 (WS)
200,Leibniz-Akademie Hannover (Hannover),NI,FH,privat,nein,1920,2012/13 (WS)
201,Medizinische Hochschule Hannover,NI,Uni,staatlich,ja,1961,2016/17 (WS)
202,Stiftung Tierärztliche Hochschule Hannover,NI,Uni,staatlich,ja,1778,2016/17 (WS)
203,Fachhochschule Westküste (Heide),SH,FH,staatlich,nein,1993,2012/13 (WS)
204,Hochschule für Jüdische Studien Heidelberg,BW,FH,konfessionell,ja,1979,2016/17 (WS)
205,Hochschule für Kirchenmusik Heidelberg,BW,FH,konfessionell,nein,1931,
206,Pädagogische Hochschule Heidelberg,BW,PH,staatlich,ja,1904,2016/17 (WS)
207,Ruprecht-Karls-Universität Heidelberg,BW,Uni,staatlich,ja,1386,2017/18 (WS)
208,SRH Hochschule Heidelberg,BW,FH,privat,nein,1972,2012/13 (WS)
209,Hochschule Heilbronn,BW,FH,staatlich,nein,1961,2012/13 (WS)
210,German Graduate School of Management and Law (Heilbronn),BW,FH,privat,nein,2005,2012/13 (WS)
211,Hochschule für Kirchenmusik der Evangelischen Kirche von Westfalen (Herford),NW,FH,konfessionell,nein,1948,2012/13 (WS)
212,Fachhochschule für Interkulturelle Theologie Hermannsburg,NI,FH,konfessionell,nein,2012,2012/13 (WS)
213,Norddeutsche Hochschule für Rechtspflege (Hildesheim),NI,FH,staatlich,nein,2007,2012/13 (WS)
