,Name,Land,Form,Träger,Promotions_recht,Gründung,Stand
214,Universität Hildesheim,NI,Uni,staatlich,ja,1946,2018/19 (WS)
215,Hochschule Hildesheim/Holzminden/Göttingen,NI,FH,staatlich,nein,1971,2012/13 (WS)
216,Hochschule für Angewandte Wissenschaften Hof,BY,FH,staatlich,nein,1994,2012/13 (WS)
217,Hochschule Fresenius (Idstein),HE,FH,privat,nein,1848,2012/13 (WS)
218,Technische Universität Ilmenau,TH,Uni,staatlich,ja,1894,2018/19 (WS)
219,Technische Hochschule Ingolstadt,BY,FH,staatlich,nein,1994,2017/18 (WS)
220,"University of Applied Sciences Europe (Iserlohn, Hamburg, Berlin)",NW,FH,privat,nein,2017,2018/19 (WS)
221,Fachhochschule Südwestfalen (Iserlohn),NW,FH,staatlich,nein,2002,2016/17 (WS)
222,Naturwissenschaftlich-Technische Akademie Isny,BW,FH,privat,nein,1945,2012/13 (WS)
223,Ernst-Abbe-Hochschule Jena,TH,FH,staatlich,nein,1991,2012/13 (WS)
224,Friedrich-Schiller-Universität Jena,TH,Uni,staatlich,ja,1558,2017/18 (WS)
225,Hochschule Kaiserslautern,RP,FH,staatlich,nein,1971,2017/18 (WS)
226,Technische Universität Kaiserslautern,RP,Uni,staatlich,ja,1970,2018/19 (WS)
227,Hochschule für Musik Karlsruhe,BW,FH,staatlich,ja,1812,2016/17 (WS)
228,Hochschule Karlsruhe – Technik und Wirtschaft,BW,FH,staatlich,nein,1971,2012/13 (WS)
229,Karlshochschule International University (Karlsruhe),BW,FH,privat,nein,2004,2012/13 (WS)
230,Karlsruher Institut für Technologie,BW,Uni,staatlich,ja,1825,2019/20 (WS)
231,Pädagogische Hochschule Karlsruhe,BW,PH,staatlich,ja,1962,2016/17 (WS)
232,Staatliche Akademie der Bildenden Künste Karlsruhe,BW,FH,staatlich,ja,1854,2016/17 (WS)
233,Staatliche Hochschule für Gestaltung Karlsruhe,BW,FH,staatlich,ja,1992,2016/17 (WS)
234,CVJM-Hochschule (Kassel),HE,FH,privat,nein,2009,2012/13 (WS)
235,Kunsthochschule Kassel,HE,FH,staatlich,nein,1777,2016/17 (WS)
236,Universität Kassel,HE,Uni,staatlich,ja,1633/1970,2017/18 (WS)
237,Hochschule Kehl,BW,FH,staatlich,nein,1971,2012/13 (WS)
238,Hochschule für angewandte Wissenschaften Kempten,BY,FH,staatlich,nein,1977,2018/19 (WS)
239,Christian-Albrechts-Universität zu Kiel,SH,Uni,staatlich,ja,1665,2017/18 (WS)
240,Fachhochschule Kiel,SH,FH,staatlich,nein,1969,2014/15 (WS)
241,Muthesius Kunsthochschule (Kiel),SH,FH,staatlich,ja,2005,2012/13 (WS)
242,"Hochschule Rhein-Waal (Kleve, Kamp-Lintfort)",NW,FH,staatlich,nein,2009,2014/15 (WS)
243,Hochschule Koblenz,RP,FH,staatlich,nein,1996,2017/18 (WS)
244,Universität Koblenz-Landau,RP,Uni,staatlich,ja,1990,2018/19 (WS)
245,"Hochschule Konstanz Technik, Wirtschaft und Gestaltung",BW,FH,staatlich,nein,1906,2012/13 (WS)
246,Universität Konstanz,BW,Uni,staatlich,ja,1966,2016/17 (WS)
247,Cologne Business School (Köln),NW,FH,privat,nein,1993,2012/13 (WS)
248,Deutsche Sporthochschule Köln,NW,Uni,staatlich,ja,1947,2018 (SS)
249,Technische Hochschule Köln,NW,FH,staatlich,nein,1971,2015 (SS)
250,Hochschule für Musik und Tanz Köln,NW,FH,staatlich,ja,1850,2012/13 (WS)
251,"Katholische Hochschule Nordrhein-Westfalen (Köln, Münster, Paderborn, Aachen)",NW,FH,konfessionell,nein,1971,2012/13 (WS)
252,Kunsthochschule für Medien Köln,NW,FH,staatlich,ja,1990,2012/13 (WS)
253,Universität zu Köln,NW,Uni,staatlich,ja,1388/1919,2019/20 (WS)
254,Rheinische Fachhochschule Köln,NW,FH,privat,nein,1971 (1958),2012/13 (WS)
255,Fachhochschule für Finanzen Brandenburg (Königs Wusterhausen),BB,FH,staatlich,nein,1991,2012/13 (WS)
256,Allensbach Hochschule (Konstanz),BW,FH,privat,nein,1996,2014/15 (WS)
257,Hochschule für angewandte Wissenschaften Landshut,BY,FH,staatlich,nein,1978,2016/17 (WS)
258,Handelshochschule Leipzig,SN,Uni,privat,ja,1898,2012/13 (WS)
259,Hochschule für Grafik und Buchkunst Leipzig,SN,FH,staatlich,ja,1764,2012/13 (WS)
260,Hochschule für Musik und Theater „Felix Mendelssohn Bartholdy“ Leipzig,SN,FH,staatlich,ja,1843,2012/13 (WS)
261,"Hochschule für Technik, Wirtschaft und Kultur Leipzig",SN,FH,staatlich,nein,1992,2012/13 (WS)
262,Hochschule für Telekommunikation Leipzig,SN,FH,privat,nein,1991,2012/13 (WS)
263,Universität Leipzig,SN,Uni,staatlich,ja,1409,2017/18 (WS)
264,Technische Hochschule Ostwestfalen-Lippe (Lemgo),NW,FH,staatlich,nein,1971,2012/13 (WS)
265,Internationale Hochschule Liebenzell,BW,FH,konfessionell,nein,2011,2012/13 (WS)
266,Akademie für Darstellende Kunst Baden-Württemberg (Ludwigsburg),BW,FH,staatlich,nein,2007,2013/14 (WS)
267,Filmakademie Baden-Württemberg (Ludwigsburg),BW,FH,staatlich,nein,1991,2014
268,Evangelische Hochschule Ludwigsburg,BW,FH,konfessionell,nein,1971,2012/13 (WS)
269,Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg,BW,FH,staatlich,nein,1999,2012/13 (WS)
270,Pädagogische Hochschule Ludwigsburg,BW,PH,staatlich,ja,1962,2016/17 (WS)
271,Hochschule für Wirtschaft und Gesellschaft Ludwigshafen,RP,FH,staatlich,nein,1965,2018/19 (WS)
272,Technische Hochschule Lübeck,SH,FH,staatlich,nein,1969,2019 (SS)
273,Leuphana Universität Lüneburg,NI,Uni,staatlich,ja,1946,2017/18 (WS)
274,Musikhochschule Lübeck,SH,FH,staatlich,nein,1973,2012/13 (WS)
275,Universität zu Lübeck,SH,Uni,staatlich,ja,1964,2016/17 (WS)
276,Otto-von-Guericke-Universität Magdeburg,ST,Uni,staatlich,ja,1993,2017/18 (WS)
277,Hochschule Magdeburg-Stendal,ST,FH,staatlich,nein,1991,2018/19 (WS)
278,Hochschule Mainz,RP,FH,staatlich,nein,1971,2018/19 (WS)
279,Katholische Hochschule Mainz,RP,FH,konfessionell,nein,1972,2018/19 (WS)
280,Johannes Gutenberg-Universität Mainz,RP,Uni,staatlich,ja,1477/1946,2018/19 (WS)
281,"Hochschule der Bundesagentur für Arbeit (Mannheim, Schwerin)",BW,FH,staatlich,nein,2006,2012/13 (WS)
282,Hochschule der Wirtschaft für Management Mannheim,BW,FH,privat,nein,2010,2012/13 (WS)
283,Hochschule für Musik und Darstellende Kunst Mannheim,BW,FH,staatlich,ja,1971,2016/17 (WS)
284,Hochschule Mannheim,BW,FH,staatlich,nein,1898,2012/13 (WS)
285,Popakademie Baden-Württemberg (Mannheim),BW,FH,staatlich,nein,2003,2011
286,Universität Mannheim,BW,Uni,staatlich,ja,1967,2016/17 (WS)
287,Archivschule Marburg,HE,FH,staatlich,nein,1949,2012/13 (WS)
288,Evangelische Hochschule Tabor (Marburg),HE,FH,konfessionell,nein,1909; FH seit 2009,2012/13 (WS)
289,Philipps-Universität Marburg,HE,Uni,staatlich,ja,1527,2017/18 (WS)
290,"Hochschule für öffentliche Verwaltung Rheinland-Pfalz (Mayen, Lautzenhausen)",RP,FH,staatlich,nein,1981,2012/13 (WS)
291,Fachhochschule für öffentliche Verwaltung und Rechtspflege Meißen,SN,FH,staatlich,nein,1992,2012/13 (WS)
292,Hochschule Merseburg,ST,FH,staatlich,nein,1992,2012/13 (WS)
293,Hochschule Mittweida,SN,FH,staatlich,nein,1867,2016 (SS)
294,Evangelische Hochschule Moritzburg,SN,FH,konfessionell,nein,1872,2012/13 (WS)
295,"Hochschule Ruhr West (Mülheim, Bottrop)",NW,FH,staatlich,nein,2009,2015/16 (WS)
296,Akademie der Bildenden Künste München,BY,FH,staatlich,ja,1808,2012/13 (WS)
297,Hochschule für Angewandte Sprachen München,BY,FH,privat,nein,2006,2012/13 (WS)
298,Hochschule für angewandte Wissenschaften München,BY,FH,staatlich,nein,1971,2017/18 (WS)
299,Hochschule für Fernsehen und Film München,BY,FH,staatlich,ja,1966,2012/13 (WS)
300,Hochschule für Musik und Theater München,BY,FH,staatlich,ja,1846,2012/13 (WS)
301,Hochschule für Philosophie München,BY,Uni,konfessionell,ja,1925,2012/13 (WS)
302,Hochschule für Politik München,BY,FH,staatlich,ja,1950,2012/13 (WS)
303,Fachhochschule für öffentliche Verwaltung und Rechtspflege in Bayern (München),BY,FH,staatlich,nein,1974,2012/13 (WS)
304,Katholische Stiftungshochschule München,BY,FH,konfessionell,nein,1971,2012/13 (WS)
305,Ludwig-Maximilians-Universität München,BY,Uni,staatlich,ja,1472,2018/19 (WS)
306,Macromedia Hochschule für Medien und Kommunikation (München),BY,FH,privat,nein,2007,2012/13 (WS)
307,Munich Business School (München),BY,FH,privat,nein,1991,2012/13 (WS)
308,Technische Universität München,BY,Uni,staatlich,ja,1868,2019/20 (WS)
309,Universität der Bundeswehr München,BY,Uni,staatlich,ja,1973,2012/13 (WS)
310,Deutsche Hochschule der Polizei (Münster),NW,Uni,staatlich,ja,2006,2012/13 (WS)
311,Fachhochschule Münster,NW,FH,staatlich,nein,1971,2018/19 (WS)
312,Kunstakademie Münster,NW,FH,staatlich,ja,1971,2012/13 (WS)
313,Philosophisch-Theologische Hochschule Münster,NW,Uni,konfessionell,nein,1971,2012/13 (WS)
314,Westfälische Wilhelms-Universität (Münster),NW,Uni,staatlich,ja,1780,2019/20 (WS)
315,Hochschule für angewandte Wissenschaften Neu-Ulm,BY,FH,staatlich,nein,1994,2014/2015 (WS)
316,Hochschule Neubrandenburg,MV,FH,staatlich,nein,1991,2012/13 (WS)
317,Augustana-Hochschule Neuendettelsau,BY,Uni,konfessionell,ja,1947,2012/13 (WS)
318,Rheinische Fachhochschule Neuss für Internationale Wirtschaft,NW,FH,privat,nein,2009,2012/13 (WS)
319,Hochschule Niederrhein (Krefeld/Mönchengladbach),NW,FH,staatlich,nein,1971,2015/16 (WS)
320,Fachhochschule Nordhausen,TH,FH,staatlich,nein,1997,2012/13 (WS)
321,Fachhochschule für Finanzen Nordrhein-Westfalen (Nordkirchen),NW,FH,staatlich,nein,1976,2012/13 (WS)
322,Akademie der Bildenden Künste Nürnberg,BY,FH,staatlich,nein,1662,2012/13 (WS)
323,Evangelische Hochschule Nürnberg,BY,FH,konfessionell,nein,1995,2012/13 (WS)
324,Hochschule für Musik Nürnberg,BY,FH,staatlich,ja,1998,2012/13 (WS)
325,Technische Hochschule Nürnberg Georg Simon Ohm,BY,FH,staatlich,nein,1823,2018/19 (WS)
326,Hochschule für Kunsttherapie Nürtingen,BW,FH,privat,nein,1987,2012/13 (WS)
327,Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen,BW,FH,staatlich,nein,1949,2012/13 (WS)
328,Lutherische Theologische Hochschule Oberursel,HE,FH,konfessionell,nein,1948,2012/13 (WS)
329,Hochschule für Gestaltung Offenbach am Main,HE,FH,staatlich,ja,1832,2012/13 (WS)
330,Hochschule Offenburg,BW,FH,staatlich,nein,1964,2012/13 (WS)
331,Carl von Ossietzky Universität Oldenburg,NI,Uni,staatlich,ja,1973,2018/19 (WS)
332,Fachhochschule der Polizei des Landes Brandenburg (Oranienburg),BB,FH,staatlich,nein,1998,2012/13 (WS)
333,Hochschule Osnabrück,NI,FH,staatlich,nein,1971,2015/16 (WS)
334,Universität Osnabrück,NI,Uni,staatlich,ja,1629/1974,2016/17 (WS)
335,Hochschule für Künste im Sozialen Ottersberg,NI,FH,privat,nein,1967,2012/13 (WS)
336,Fachhochschule der Wirtschaft (Paderborn),NW,FH,privat,nein,1992,2012/13 (WS)
337,Theologische Fakultät Paderborn,NW,Uni,konfessionell,ja,1614,2012/13 (WS)
338,Universität Paderborn,NW,Uni,staatlich,ja,1972,2017/18 (WS)
339,Universität Passau,BY,Uni,staatlich,ja,1978,2016/17 (WS)
340,Hochschule Pforzheim,BW,FH,staatlich,nein,1877,2012/13 (WS)
341,Fachhochschule für Sport & Management Potsdam,BB,FH,privat,nein,2009,2012/13 (WS)
342,Fachhochschule Potsdam,BB,FH,staatlich,nein,1991,2012/13 (WS)
343,Filmuniversität Babelsberg Konrad Wolf (Potsdam),BB,Uni,staatlich,ja,1954,2012/13 (WS)
344,Universität Potsdam,BB,Uni,staatlich,ja,1991,2017/18 (WS)
345,Hochschule Ravensburg-Weingarten,BW,FH,staatlich,nein,1964,2019/20 (WS)
346,Hochschule für Katholische Kirchenmusik und Musikpädagogik Regensburg,BY,FH,konfessionell,nein,2001,2012/13 (WS)
347,Universität Regensburg,BY,Uni,staatlich,ja,1962,2017/18 (WS)
348,Ostbayerische Technische Hochschule Regensburg,BY,FH,staatlich,ja,1971,2015/16 (WS)
349,Hochschule Reutlingen,BW,FH,staatlich,nein,1855,2012/13 (WS)
350,Theologische Hochschule Reutlingen,BW,FH,konfessionell,nein,1877,2012/13 (WS)
351,Mathias Hochschule Rheine,NW,FH,privat,nein,2009,2012/13 (WS)
352,SRH Fernhochschule Riedlingen,BW,FH,privat,nein,1996,2019/20 (WS)
353,Technische Hochschule Rosenheim,BY,FH,staatlich,nein,1971,2015/16 (WS)
354,Hochschule für Musik und Theater Rostock,MV,Uni,staatlich,ja,1994,2012/13 (WS)
355,Universität Rostock,MV,Uni,staatlich,ja,1419,2016/17 (WS)
356,Hessische Hochschule für Finanzen und Rechtspflege (Rotenburg an der Fulda),HE,FH,staatlich,nein,1980,2012/13 (WS)
357,Hochschule der Sächsischen Polizei (FH) (Rothenburg/Oberlausitz),SN,FH,staatlich,nein,1994,2012/13 (WS)
358,Hochschule für Forstwirtschaft Rottenburg,BW,FH,staatlich,nein,1954; FH seit 1979,2014/15 (WS)
359,Katholische Hochschule für Kirchenmusik Rottenburg,BW,FH,konfessionell,nein,1997,2010/11 (WS)
360,Deutsche Hochschule für Prävention und Gesundheitsmanagement (Saarbrücken),SL,FH,privat,nein,2002,2012/13 (WS)
361,Fachhochschule für Verwaltung des Saarlandes (Saarbrücken),SL,FH,staatlich,nein,1980,2012/13 (WS)
362,Hochschule der Bildenden Künste Saar (Saarbrücken),SL,FH,staatlich,ja,1989,2012/13 (WS)
363,Hochschule für Musik Saar (Saarbrücken),SL,FH,staatlich,ja,1947,2012/13 (WS)
364,Hochschule für Technik und Wirtschaft des Saarlandes (Saarbrücken),SL,FH,staatlich,nein,1807,2012/13 (WS)
365,"Universität des Saarlandes (Saarbrücken, Homburg)",SL,Uni,staatlich,ja,1948,2018/19 (WS)
366,Hochschule Schmalkalden,TH,FH,staatlich,nein,1991,2012/13 (WS)
367,Hochschule für Gestaltung Schwäbisch Gmünd,BW,FH,staatlich,nein,1776,2012/13 (WS)
368,Fachhochschule Schwetzingen,BW,FH,staatlich,nein,1953,2012/13 (WS)
369,Pädagogische Hochschule Schwäbisch Gmünd,BW,PH,staatlich,ja,1825,2016/17 (WS)
370,Universität Siegen,NW,Uni,staatlich,ja,1972,2018/19 (WS)
371,Deutsche Universität für Verwaltungswissenschaften Speyer,RP,Uni,staatlich,ja,1947,2017/18 (WS)
372,Kölner Hochschule für Katholische Theologie (KHKT) – St. Augustin,NW,Uni,konfessionell,ja,1925,2012/13 (WS)
373,Hochschule Stralsund,MV,FH,staatlich,nein,1991,2012/13 (WS)
374,AKAD Bildungsgesellschaft (Stuttgart),BW,FH,privat,nein,1959,2012/13 (WS)
375,Duale Hochschule Baden-Württemberg (Stuttgart),BW,DH,staatlich,nein,1974/2009,2016/17 (WS)
376,Freie Hochschule Stuttgart,BW,FH,privat,nein,1928,2012/13 (WS)
377,Hochschule der Medien (Stuttgart),BW,FH,staatlich,nein,2001,2012/13 (WS)
378,Hochschule für Musik und Darstellende Kunst Stuttgart,BW,FH,staatlich,ja,1857,2016/17 (WS)
379,Hochschule für Technik Stuttgart,BW,FH,staatlich,nein,1971,2012/13 (WS)
380,Merz Akademie (Stuttgart),BW,FH,privat,nein,1918,2012/13 (WS)
381,Staatliche Akademie der Bildenden Künste Stuttgart,BW,FH,staatlich,ja,1761/1829,2016/17 (WS)
382,VWA Hochschule für berufsbegleitendes Studium Stuttgart,BW,FH,privat,nein,2013,2013/14 (WS)
383,Universität Hohenheim (Stuttgart),BW,Uni,staatlich,ja,1818,2016/17 (WS)
384,Universität Stuttgart,BW,Uni,staatlich,ja,1829,2017/18 (WS)
385,Hochschule Trier,RP,FH,staatlich,nein,1996,2018/19 (WS)
386,Theologische Fakultät Trier,RP,Uni,staatlich,ja,1950,2018/19 (WS)
387,Universität Trier,RP,Uni,staatlich,ja,1473/1970,2018/19 (WS)
388,Hochschule für Musik Trossingen,BW,FH,staatlich,ja,1944,2016/17 (WS)
389,Eberhard Karls Universität Tübingen,BW,Uni,staatlich,ja,1477,2017/18 (WS)
390,Evangelische Hochschule für Kirchenmusik Tübingen,BW,FH,konfessionell,nein,1998,2015/16 (WS)
391,Technische Hochschule Ulm,BW,FH,staatlich,nein,1971,2012/13 (WS)
392,Universität Ulm,BW,Uni,staatlich,ja,1967,2016/17 (WS)
393,Philosophisch-Theologische Hochschule Vallendar,RP,Uni,konfessionell,ja,1896,2017/18 (WS)
394,WHU – Otto Beisheim School of Management (Vallendar),RP,Uni,privat,ja,1984,2017/18 (WS)
395,Fachhochschule für Wirtschaft und Technik Vechta/Diepholz/Oldenburg,NI,FH,privat,nein,1998,2012/13 (WS)
396,Universität Vechta,NI,Uni,staatlich,ja,1995,2016/17 (WS)
397,Hochschule für Polizei Baden-Württemberg,BW,FH,staatlich,nein,1979,2012/13 (WS)
398,Fachhochschule Wedel,SH,FH,privat,nein,1969,2012/13 (WS)
399,Hochschule Weihenstephan-Triesdorf,BY,FH,staatlich,nein,1971,2014/15 (WS)
400,Bauhaus-Universität Weimar,TH,Uni,staatlich,ja,1860,2012/13 (WS)
401,Hochschule für Musik Franz Liszt Weimar,TH,FH,staatlich,ja,1872,2012/13 (WS)
402,Pädagogische Hochschule Weingarten,BW,PH,staatlich,ja,1949,2016/17 (WS)
403,Hochschule Harz (Wernigerode und Halberstadt),ST,FH,staatlich,nein,1991,2012/13 (WS)
404,"EBS Universität für Wirtschaft und Recht (Wiesbaden, Oestrich-Winkel)",HE,Uni,privat,ja,1971,2017 (SS)
405,Hessische Hochschule für Polizei und Verwaltung (Wiesbaden),HE,FH,staatlich,nein,1980,2012/13 (WS)
406,Hochschule RheinMain (Wiesbaden und Rüsselsheim),HE,FH,staatlich,ja1,1971,2017/18 (WS)
407,Wilhelm Büchner Hochschule (Pfungstadt),HE,FH,privat,nein,1997,2012/13 (WS)
408,Technische Hochschule Wildau (FH),BB,FH,staatlich,nein,1991,2012/13 (WS)
409,"Jade Hochschule (Wilhelmshaven, Oldenburg, Elsfleth)",NI,FH,staatlich,nein,2009,2012/13 (WS)
410,Hochschule Wismar,MV,FH,staatlich,nein,1908,2012/13 (WS)
411,Universität Witten/Herdecke,NW,Uni,privat,ja,1982,2012/13 (WS)
412,"Ostfalia Hochschule für angewandte Wissenschaften (Wolfenbüttel, Salzgitter, Wolfsburg, Suderburg)",NI,FH,staatlich,nein,1971,2012/13 (WS)
413,Hochschule Worms,RP,FH,staatlich,nein,1978,2018/19 (WS)
414,Bergische Universität Wuppertal,NW,Uni,staatlich,ja,1972,2017/18 (WS)
415,Kirchliche Hochschule Wuppertal/Bethel,NW,Uni,konfessionell,ja,1905,2014 (SS)
416,Hochschule für angewandte Wissenschaften Würzburg-Schweinfurt,BY,FH,staatlich,nein,1971,2016/17 (WS)
417,Hochschule für Musik Würzburg,BY,FH,staatlich,ja,1797,2012/13 (WS)
418,Julius-Maximilians-Universität Würzburg,BY,Uni,staatlich,ja,1402/1582,2017/18 (WS)
419,Hochschule Zittau/Görlitz,SN,FH,staatlich,nein,1992,2012/13 (WS)
420,DPFA Hochschule Sachsen (Zwickau),SN,FH,privat,nein,2012,2012/13 (WS)
421,NBS Northern Business School – Hochschule für Management und Sicherheit,HH,FH,privat,nein,2013,2016 (SS)
422,Westsächsische Hochschule Zwickau,SN,FH,staatlich,nein,1992,2012/13 (WS)
423,Helmut-Schmidt-Universität/Universität der Bundeswehr Hamburg,HH,Uni,staatlich,ja,1972,2017/18 (SS)
424,media Akademie - Hochschule Stuttgart,BW,FH,privat,nein,2015,2018/19 (WS)
